"","x"
"vigil",6
"virtual",6
"visit",6
"wash",6
"whos",6
"willing",6
"wind",6
"won",6
"youll",6
"youth",6
"accid",5
"aclu",5
"acquaint",5
"adequ",5
"adult",5
"adversari",5
"advic",5
"afghanistan",5
"afraid",5
"agenda",5
"agreeabl",5
"aim",5
"ala",5
"alabama",5
"aliv",5
"allud",5
"altern",5
"amic",5
"animos",5
"apprehend",5
"apt",5
"asid",5
"attain",5
"await",5
"baker",5
"bare",5
"battlefield",5
"bay",5
"belov",5
"benefic",5
"bent",5
"bind",5
"bounti",5
"brethren",5
"brutal",5
"camp",5
"capitol",5
"cathol",5
"census",5
"chariti",5
"chemic",5
"chop",5
"christian",5
"civilian",5
"cling",5
"clone",5
"code",5
"collis",5
"colonel",5
"color",5
"committe",5
"concili",5
"concur",5
"condol",5
"constru",5
"corn",5
"counten",5
"croix",5
"cuba",5
"currenc",5
"custom",5
"cynic",5
"datefebruari",5
"david",5
"deduct",5
"defer",5
"describ",5
"desert",5
"desk",5
"despair",5
"diplomaci",5
"disabl",5
"disagr",5
"dispens",5
"displac",5
"dispos",5
"divert",5
"driven",5
"dump",5
"dynasti",5
"edg",5
"elector",5
"endless",5
"endow",5
"engin",5
"equip",5
"exchang",5
"exig",5
"expos",5
"extract",5
"fabric",5
"featur",5
"fed",5
"fell",5
"finest",5
"finish",5
"foot",5
"ford",5
"forego",5
"fortitud",5
"foster",5
"fratern",5
"garrison",5
"generos",5
"generous",5
"gentleman",5
"graduat",5
"grew",5
"grief",5
"gross",5
"guest",5
"gulf",5
"gun",5
"halt",5
"happili",5
"harbor",5
"harmon",5
"hasnt",5
"haven",5
"hazard",5
"hereaft",5
"heroic",5
"hispan",5
"horn",5
"humanitarian",5
"humili",5
"husband",5
"ident",5
"identifi",5
"illustri",5
"imparti",5
"influenti",5
"insignific",5
"intellectu",5
"interdict",5
"interfer",5
"jackson",5
"jealousi",5
"joe",5
"joy",5
"judici",5
"lament",5
"latin",5
"lawyer",5
"leagu",5
"lifelong",5
"lloyd",5
"logic",5
"los",5
"lowest",5
"loyalti",5
"machineri",5
"mayor",5
"mckinney",5
"medicar",5
"medicin",5
"merci",5
"midst",5
"miss",5
"mitchel",5
"modest",5
"mortal",5
"mortgag",5
"napoleon",5
"nay",5
"nearest",5
"news",5
"nice",5
"nomine",5
"normal",5
"nunn",5
"offens",5
"outsid",5
"overlook",5
"overwhelm",5
"pari",5
"partisan",5
"persever",5
"persuas",5
"physic",5
"plagu",5
"pour",5
"predecessor",5
"preemin",5
"prejudic",5
"pressur",5
"presum",5
"pretti",5
"prompt",5
"prosecut",5
